"%Acm. Venda","Código Produto","Produto : Empresa","Código Empresa","Embalagem Unitária","Itens (SKU)","Quantidade em Estoque","Quantidade Reservada","Quantidade Disponível","Valor Preço de Venda","%Partic. Pr.Vda","Preço Vda Unitário","Valor Custo Líquido","%Partic. Cto Liq.","Custo Liq. Unitário","Cto. Liq Unitário (Líquido de ICMS)","Cto. Liq Unitário (Líquido de ICMS) Total","Lucrat. Marg %","Lucratividade Unit.","Lucratividade Valor","%Partic. Lucrat.","% Mark Up","% Mark Down","Valor Custo Bruto","% Partic. Cto Bruto","Cto Bruto Unitário","Contribuição Valor","% Partic. Contrib.","Contrib. Marg %","Qtd. Pend. Ped.Compra","Qtd. Pend. Ped.Exped.","Média Vda/Dia","Dias de Estoque","Dias Ult. Entrada","Dias Ult. Entrada c/ Alt. Custo","Peso Bruto","%Partic. Peso Brt","Peso Líquido","Despesa Venda","Compror","Descontos Diversos","Descontos Transf. PIS","Descontos Transf. COFINS","Descontos Transf. IPI","Descontos Transf. Lucro","Descontos Transf. Verba","Descontos Transf. Diferença","Descontos Transferências","Descontos Totais","Comissão s/ Venda","Tot.Impostos s/ Venda","ICMS s/ Venda","PIS s/ Venda","COFINS s/ Venda","Outros Impostos","Código Acesso","Estq Emp","Custo Fiscal Unit.","Custo Fiscal Total","Despesa Fixa Unit.","Desconto Fixo Unit.","Despesa Fixa","Desconto Fixo","Descontos Transf. Rest.ICMS/ST","Quantidade Estoque Mínimo","Quantidade  Estoque Máximo","Quantidade  Dias Sem Vendas"
"6,42","122711","ABS PROT DIARIO POISE 14UN LONGO : 501-MM SP","501","UN 1","1","684,000","0,000","684,000","5.593,41","0,01","8,18","4.474,74","0,01","6,5420","6,0800","4.159,14","5,00","0,41","279,66","-0,03","25,00","20,00","4.474,74","0,01","6,5420","1.006,80","0,02","18,00","0,000","0,000","4,200","162,86","104,0","104,0","47,880","0,00","45,828","727,14","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","111,87","0,00","0,00","92,29","425,10","0,00","7896007552498","684,000","6,08","4.159,14","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","22"
"6,42","120412","AGUA DE COCO TIAL 1L : 501-MM SP","501","UN 1","1","12,000","0,000","12,000","119,12","0,00","9,93","94,10","0,00","7,8415","7,3000","87,65","6,01","0,60","7,15","0,00","26,59","21,01","94,10","0,00","7,8415","22,64","0,00","19,01","0,000","0,000","4,941","2,43","105,0","181,0","13,044","0,00","12,000","15,49","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2,38","0,00","0,00","1,97","9,05","0,00","7896005310878","12,000","7,30","87,65","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","97"
"6,42","122604","AGUA DE COCO TIAL 330ML : 501-MM SP","501","UN 1","1","12,000","0,000","12,000","46,56","0,00","3,88","36,78","0,00","3,0653","2,8600","34,26","5,50","0,21","2,56","0,00","26,58","21,00","36,78","0,00","3,0653","8,61","0,00","18,50","0,000","0,000","26,000","0,46","77,0","94,0","13,200","0,00","12,000","6,05","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,16","0,00","0,00","0,77","3,54","0,00","7896005311547","12,000","2,86","34,26","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","83"
"6,43","122605","AGUA DE COCO TIAL 330ML COM POLPA : 501-MM SP","501","UN 1","1","480,000","0,000","480,000","2.414,40","0,01","5,03","2.058,75","0,01","4,2891","4,0000","1.917,70","-0,77","-0,04","-18,59","0,00","17,27","14,73","2.058,75","0,01","4,2891","295,29","0,01","12,23","0,000","0,000","3,600","133,33","84,0","181,0","163,200","0,00","160,320","313,87","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","60,36","0,00","0,00","39,84","183,49","0,00","7896005311349","480,000","4,00","1.917,70","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","87"
"6,43","122179","AGUA MICELAR MONANGE 200ML ACIDO HIALURONICO : 501-MM SP","501","UN 1","1","94,000","0,000","94,000","1.568,86","0,00","16,69","1.178,29","0,00","12,5350","11,5700","1.087,85","9,40","1,57","147,40","-0,01","33,15","24,90","1.178,29","0,00","12,5350","351,35","0,01","22,40","0,000","0,000","0,567","165,78","141,0","141,0","23,030","0,00","23,030","203,95","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","39,22","0,00","0,00","25,89","119,23","0,00","7896235354345","94,000","11,53","1.083,82","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","27"
"6,44","4564","ALIMENTO KARO 350G PET : 501-MM SP","501","UN 1","1","380,000","0,000","380,000","5.833,00","0,01","15,35","4.810,42","0,01","12,6590","10,1600","3.859,07","-3,47","-0,53","-202,35","0,02","21,26","17,53","4.810,42","0,01","12,6590","905,92","0,02","15,53","0,000","0,000","23,700","16,03","3,0","69,0","147,440","0,00","147,440","1.108,27","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","116,66","0,00","1.049,94","96,24","443,31","0,00","7894000021249","380,000","9,90","3.763,11","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","41"
"6,44","118819","AMAC. ROUPA BABY SOFT P 1,8 L 2L TOQUE CARINHO : 501-MM SP","501","UN 1","1","96,000","0,000","96,000","469,12","0,00","4,89","384,71","0,00","4,0074","3,7400","359,32","3,99","0,20","18,73","0,00","21,94","17,99","384,71","0,00","4,0074","79,72","0,00","16,99","0,000","0,000","122,400","0,78","105,0","231,0","201,600","0,01","192,000","60,99","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4,69","0,00","0,00","7,74","35,65","0,00","7896075910534","96,000","3,74","359,32","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","181"
"6,52","115351","AMAC. ROUPA COMFORT 1800ML BRISA FLORAL : 501-MM SP","501","UN 1","1","2.562,000","0,000","2.562,000","36.303,54","0,08","14,17","30.683,09","0,07","11,9762","11,4800","29.419,77","-3,52","-0,50","-1.277,22","0,12","18,32","15,48","30.683,09","0,07","11,9762","4.894,38","0,09","13,48","0,000","0,000","62,000","41,32","3,0","6,0","4.939,536","0,15","4.939,536","6.171,60","0,00","0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","726,07","0,00","0,00","599,01","2.759,07","0,00","7891150079274","2.562,000","12,48","31.971,25","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1"
"6,58","114998","AMAC. ROUPA COMFORT 1800ML BRISA TROPICAL : 501-MM SP","501","UN 1","1","2.142,000","0,000","2.142,000","30.352,14","0,06","14,17","25.653,07","0,06","11,9762","11,4800","24.596,86","-3,52","-0,50","-1.067,84","0,10","18,32","15,48","25.653,07","0,06","11,9762","4.092,03","0,07","13,48","0,000","0,000","67,900","31,55","1,0","1,0","4.129,776","0,13","4.129,776","5.159,86","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","607,04","0,00","0,00","500,81","2.306,76","0,00","7891150070981","2.142,000","11,76","25.190,03","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1"
"7,42","114997","AMAC. ROUPA COMFORT 1800ML EXPLOSAO AZUL : 501-MM SP","501","UN 1","1","28.260,000","0,000","28.260,000","400.444,20","0,84","14,17","338.448,09","0,83","11,9762","11,4800","324.513,20","-3,52","-0,50","-14.088,29","1,27","18,32","15,48","338.448,09","0,83","11,9762","53.987,23","0,95","13,48","0,000","0,000","431,700","65,46","1,0","6,0","54.485,280","1,65","54.485,280","68.075,51","0,00","0,06","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,06","8.008,88","0,00","0,00","6.607,33","30.433,76","0,00","7891150070974","28.260,000","12,43","351.237,04","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1"
